time	V(vrec)
0.000000000000000e+000	2.215470e-004
5.851428468745775e-011	2.215470e-004
1.170285693749155e-010	2.215470e-004
1.755428540623733e-010	2.215470e-004
2.340571387498310e-010	2.215470e-004
2.925714234372888e-010	2.215470e-004
3.510857081247465e-010	2.215470e-004
4.095999928122041e-010	2.215470e-004
8.191999856244081e-010	2.215470e-004
1.506036552623528e-009	2.215470e-004
2.263146591934315e-009	2.215470e-004
3.682005078222642e-009	2.215470e-004
6.189379562620976e-009	2.215470e-004
8.043986885792402e-009	2.215471e-004
9.616197617113720e-009	2.215471e-004
1.096963768213829e-008	2.215472e-004
1.209482426374167e-008	2.215472e-004
1.269567001292163e-008	2.215473e-004
1.307266489328121e-008	2.215474e-004
1.314738501376539e-008	2.215474e-004
1.322210513424956e-008	2.215474e-004
1.329682525473374e-008	2.215475e-004
1.337154537521791e-008	2.215475e-004
1.344626549570209e-008	2.215475e-004
1.352098561618626e-008	2.215475e-004
1.359570573667044e-008	2.215476e-004
1.366236749977581e-008	2.215476e-004
1.372902926288117e-008	2.215476e-004
1.379569102598655e-008	2.215476e-004
1.386235278909191e-008	2.215477e-004
1.392901455219728e-008	2.215477e-004
1.399567631530265e-008	2.215477e-004
1.406233807840802e-008	2.215478e-004
1.409752904560870e-008	2.215478e-004
1.413272001280937e-008	2.215478e-004
1.416791098001005e-008	2.215478e-004
1.420310194721072e-008	2.215479e-004
1.423829291441140e-008	2.215479e-004
1.427348388161207e-008	2.215479e-004
1.430867484881275e-008	2.215479e-004
1.443844346527267e-008	2.215479e-004
1.468272981300923e-008	2.215478e-004
1.472792278361503e-008	2.215478e-004
1.477311575422083e-008	2.215478e-004
1.481830872482664e-008	2.215477e-004
1.486350169543244e-008	2.215477e-004
1.490869466603824e-008	2.215477e-004
1.495388763664404e-008	2.215476e-004
1.499908060724984e-008	2.215476e-004
1.539239014597755e-008	2.215472e-004
1.586014358270475e-008	2.215468e-004
1.642423995581814e-008	2.215464e-004
1.725384791641875e-008	2.215460e-004
1.815292292966701e-008	2.215457e-004
1.937207160611497e-008	2.215454e-004
2.075262347900501e-008	2.215450e-004
2.245075980517400e-008	2.215446e-004
2.463163295855544e-008	2.215441e-004
2.694640289169587e-008	2.215438e-004
2.991070484403444e-008	2.215433e-004
3.346893084952539e-008	2.215430e-004
3.785835550853298e-008	2.215429e-004
3.864748458972633e-008	2.215429e-004
3.943661367091967e-008	2.215429e-004
4.022574275211302e-008	2.215430e-004
4.101487183330636e-008	2.215430e-004
4.180400091449970e-008	2.215430e-004
4.259312999569304e-008	2.215431e-004
4.338225907688638e-008	2.215431e-004
4.429992307525109e-008	2.215432e-004
4.521758707361581e-008	2.215433e-004
4.613525107198052e-008	2.215434e-004
4.705291507034523e-008	2.215435e-004
4.797057906870995e-008	2.215436e-004
4.888824306707466e-008	2.215437e-004
4.980590706543937e-008	2.215438e-004
5.224913281218538e-008	2.215441e-004
5.469235855893139e-008	2.215445e-004
5.713558430567739e-008	2.215449e-004
5.957881005242340e-008	2.215453e-004
6.202203579916941e-008	2.215458e-004
6.446526154591542e-008	2.215463e-004
6.690848729266141e-008	2.215468e-004
7.009689493815094e-008	2.215475e-004
7.328530258364048e-008	2.215482e-004
7.647371022913002e-008	2.215488e-004
7.966211787461954e-008	2.215494e-004
8.285052552010907e-008	2.215499e-004
8.603893316559861e-008	2.215504e-004
8.922734081108814e-008	2.215509e-004
9.440539111454337e-008	2.215515e-004
9.958344141799862e-008	2.215520e-004
1.047614917214539e-007	2.215523e-004
1.099395420249091e-007	2.215525e-004
1.151175923283643e-007	2.215524e-004
1.202956426318196e-007	2.215522e-004
