time	V(vrec)
0.000000000000000e+000	1.063079e-003
6.012271228014400e-011	1.063079e-003
1.202454245602880e-010	1.063079e-003
1.803681368404320e-010	1.063079e-003
2.404908491205760e-010	1.063079e-003
3.006135614007200e-010	1.063079e-003
3.607362736808639e-010	1.063079e-003
4.208589859610078e-010	1.063079e-003
8.191999856244081e-010	1.063079e-003
1.638399971248816e-009	1.063079e-003
2.961344427273511e-009	1.063079e-003
4.443173082233912e-009	1.063079e-003
6.024983924863585e-009	1.063079e-003
7.988514779832093e-009	1.063079e-003
1.003634832639256e-008	1.063079e-003
1.235332760942356e-008	1.063079e-003
1.443491874945873e-008	1.063079e-003
1.568405394068792e-008	1.063079e-003
1.640082786463933e-008	1.063078e-003
1.680222126205212e-008	1.063078e-003
1.713105393740910e-008	1.063077e-003
1.758795110164063e-008	1.063076e-003
1.814716769943245e-008	1.063076e-003
1.897337533639769e-008	1.063076e-003
1.909861013676617e-008	1.063076e-003
1.922384493713465e-008	1.063076e-003
1.934907973750312e-008	1.063076e-003
1.947431453787160e-008	1.063076e-003
1.959954933824008e-008	1.063076e-003
1.972478413860855e-008	1.063076e-003
1.985001893897703e-008	1.063076e-003
2.023937755504754e-008	1.063076e-003
2.062873617111804e-008	1.063076e-003
2.101809478718854e-008	1.063076e-003
2.140745340325905e-008	1.063076e-003
2.179681201932955e-008	1.063077e-003
2.218617063540006e-008	1.063077e-003
2.257552925147056e-008	1.063077e-003
2.317017971842908e-008	1.063077e-003
2.376483018538759e-008	1.063078e-003
2.435948065234610e-008	1.063078e-003
2.495413111930462e-008	1.063078e-003
2.554878158626313e-008	1.063079e-003
2.614343205322164e-008	1.063079e-003
2.673808252018016e-008	1.063080e-003
2.885568173607883e-008	1.063082e-003
3.127219304434803e-008	1.063084e-003
3.376111426044684e-008	1.063086e-003
3.488929238757366e-008	1.063087e-003
3.601747051470048e-008	1.063089e-003
3.714564864182730e-008	1.063090e-003
3.827382676895412e-008	1.063091e-003
3.940200489608094e-008	1.063092e-003
4.053018302320776e-008	1.063093e-003
4.165836115033458e-008	1.063094e-003
4.475149562491916e-008	1.063096e-003
4.828650645301583e-008	1.063098e-003
4.962453182977309e-008	1.063099e-003
5.174553832663110e-008	1.063099e-003
5.457354698910843e-008	1.063100e-003
5.692558986305470e-008	1.063100e-003
5.862239506054110e-008	1.063100e-003
6.088480199052297e-008	1.063099e-003
6.530437730850433e-008	1.063098e-003
6.666182146649346e-008	1.063097e-003
6.847174701047895e-008	1.063095e-003
7.426164864706144e-008	1.063091e-003
7.932944017022083e-008	1.063085e-003
8.334498372015930e-008	1.063081e-003
8.739921693868680e-008	1.063076e-003
9.272762920219350e-008	1.063069e-003
9.947620052242918e-008	1.063061e-003
1.019583306913690e-007	1.063058e-003
1.044404608603088e-007	1.063056e-003
1.069225910292485e-007	1.063054e-003
1.094047211981883e-007	1.063051e-003
1.118868513671281e-007	1.063050e-003
1.143689815360679e-007	1.063048e-003
1.168511117050077e-007	1.063047e-003
1.211402796932772e-007	1.063045e-003
1.254294476815468e-007	1.063044e-003
1.297186156698164e-007	1.063044e-003
1.340077836580859e-007	1.063045e-003
1.382969516463555e-007	1.063046e-003
1.425861196346251e-007	1.063048e-003
1.468752876228946e-007	1.063052e-003
1.531195518729775e-007	1.063058e-003
1.593638161230605e-007	1.063064e-003
1.656080803731435e-007	1.063070e-003
1.718523446232264e-007	1.063076e-003
1.780966088733094e-007	1.063082e-003
1.843408731233923e-007	1.063088e-003
1.905851373734753e-007	1.063094e-003
1.942039974835985e-007	1.063097e-003
1.978228575937217e-007	1.063100e-003
2.014417177038448e-007	1.063102e-003
2.050605778139680e-007	1.063104e-003
2.086794379240912e-007	1.063106e-003
2.122982980342144e-007	1.063107e-003
2.159171581443376e-007	1.063108e-003
2.229901812016221e-007	1.063109e-003
2.258000260581963e-007	1.063109e-003
2.325218737255264e-007	1.063109e-003
2.377669174577982e-007	1.063108e-003
2.431213072949289e-007	1.063106e-003
2.479352081886538e-007	1.063104e-003
2.527491090823788e-007	1.063101e-003
2.575630099761038e-007	1.063099e-003
2.623769108698287e-007	1.063096e-003
2.671908117635537e-007	1.063093e-003
2.720047126572787e-007	1.063090e-003
2.768186135510036e-007	1.063087e-003
2.834619364330783e-007	1.063082e-003
2.901052593151530e-007	1.063078e-003
2.967485821972278e-007	1.063074e-003
3.033919050793025e-007	1.063071e-003
3.100352279613771e-007	1.063068e-003
3.166785508434518e-007	1.063065e-003
3.233218737255265e-007	1.063063e-003
3.321218737255411e-007	1.063061e-003
3.409218737255558e-007	1.063060e-003
3.497218737255703e-007	1.063059e-003
3.585218737255849e-007	1.063059e-003
3.673218737255996e-007	1.063060e-003
3.761218737256141e-007	1.063062e-003
3.849218737256287e-007	1.063065e-003
3.939504446835269e-007	1.063068e-003
4.029790156414251e-007	1.063070e-003
