Freq.	V(vo)
Step Information: Run=13  (Run: 13/100)
1.00000000000000e+003	(1.41566714598948e-001dB,-3.69725820173208e+000°)
1.00230523807790e+003	(1.41570106652774e-001dB,-3.70578191153177e+000°)
1.00461579027840e+003	(1.41573514348335e-001dB,-3.71432527501085e+000°)
1.00693166885180e+003	(1.41576937757769e-001dB,-3.72288833750675e+000°)
1.00925288607668e+003	(1.41580376953485e-001dB,-3.73147114446176e+000°)
1.01157945425990e+003	(1.41583832008106e-001dB,-3.74007374142309e+000°)
1.01391138573668e+003	(1.41587302994712e-001dB,-3.74869617404345e+000°)
1.01624869287070e+003	(1.41590789986743e-001dB,-3.75733848808059e+000°)
1.01859138805412e+003	(1.41594293057895e-001dB,-3.76600072939820e+000°)
1.02093948370768e+003	(1.41597812282226e-001dB,-3.77468294396584e+000°)
1.02329299228075e+003	(1.41601347734271e-001dB,-3.78338517785940e+000°)
1.02565192625141e+003	(1.41604899488569e-001dB,-3.79210747726103e+000°)
1.02801629812647e+003	(1.41608467620361e-001dB,-3.80084988845970e+000°)
1.03038612044162e+003	(1.41612052205109e-001dB,-3.80961245785124e+000°)
1.03276140576140e+003	(1.41615653318498e-001dB,-3.81839523193857e+000°)
1.03514216667934e+003	(1.41619271036691e-001dB,-3.82719825733251e+000°)
1.03752841581801e+003	(1.41622905436204e-001dB,-3.83602158075096e+000°)
1.03992016582906e+003	(1.41626556593931e-001dB,-3.84486524902001e+000°)
1.04231742939330e+003	(1.41630224586895e-001dB,-3.85372930907401e+000°)
1.04472021922080e+003	(1.41633909492742e-001dB,-3.86261380795567e+000°)
1.04712854805090e+003	(1.41637611389471e-001dB,-3.87151879281632e+000°)
1.04954242865232e+003	(1.41641330355145e-001dB,-3.88044431091635e+000°)
1.05196187382322e+003	(1.41645066468530e-001dB,-3.88939040962521e+000°)
1.05438689639126e+003	(1.41648819808588e-001dB,-3.89835713642196e+000°)
1.05681750921366e+003	(1.41652590454552e-001dB,-3.90734453889528e+000°)
1.05925372517729e+003	(1.41656378486266e-001dB,-3.91635266474359e+000°)
1.06169555719872e+003	(1.41660183983693e-001dB,-3.92538156177592e+000°)
1.06414301822431e+003	(1.41664007027444e-001dB,-3.93443127791149e+000°)
1.06659612123026e+003	(1.41667847698171e-001dB,-3.94350186118027e+000°)
1.06905487922266e+003	(1.41671706077030e-001dB,-3.95259335972331e+000°)
1.07151930523761e+003	(1.41675582245799e-001dB,-3.96170582179275e+000°)
1.07398941234124e+003	(1.41679476286172e-001dB,-3.97083929575238e+000°)
1.07646521362983e+003	(1.41683388280618e-001dB,-3.97999383007758e+000°)
1.07894672222983e+003	(1.41687318311644e-001dB,-3.98916947335587e+000°)
1.08143395129794e+003	(1.41691266462508e-001dB,-3.99836627428702e+000°)
1.08392691402120e+003	(1.41695232816515e-001dB,-4.00758428168330e+000°)
1.08642562361706e+003	(1.41699217457724e-001dB,-4.01682354446962e+000°)
1.08893009333343e+003	(1.41703220470058e-001dB,-4.02608411168428e+000°)
1.09144033644875e+003	(1.41707241938295e-001dB,-4.03536603247860e+000°)
1.09395636627209e+003	(1.41711281947347e-001dB,-4.04466935611777e+000°)
1.09647819614318e+003	(1.41715340582644e-001dB,-4.05399413198049e+000°)
1.09900583943252e+003	(1.41719417930008e-001dB,-4.06334040955973e+000°)
1.10153930954141e+003	(1.41723514075558e-001dB,-4.07270823846303e+000°)
1.10407861990207e+003	(1.41727629105751e-001dB,-4.08209766841213e+000°)
1.10662378397766e+003	(1.41731763107756e-001dB,-4.09150874924406e+000°)
1.10917481526240e+003	(1.41735916168801e-001dB,-4.10094153091080e+000°)
1.11173172728159e+003	(1.41740088376646e-001dB,-4.11039606347992e+000°)
1.11429453359173e+003	(1.41744279819451e-001dB,-4.11987239713455e+000°)
1.11686324778056e+003	(1.41748490585922e-001dB,-4.12937058217391e+000°)
1.11943788346715e+003	(1.41752720764957e-001dB,-4.13889066901349e+000°)
1.12201845430196e+003	(1.41756970445906e-001dB,-4.14843270818507e+000°)
