time	V(vrec)
0.000000000000000e+000	1.959782e-004
6.052481917831556e-011	1.959782e-004
1.210496383566311e-010	1.959782e-004
1.815744575349467e-010	1.959782e-004
2.420992767132622e-010	1.959782e-004
3.026240958915778e-010	1.959782e-004
3.631489150698933e-010	1.959782e-004
4.236737342482088e-010	1.959782e-004
8.191999856244081e-010	1.959782e-004
1.523511262198795e-009	1.959782e-004
2.248821052173188e-009	1.959782e-004
3.096103969588576e-009	1.959782e-004
4.049667264602969e-009	1.959782e-004
5.032069586198729e-009	1.959782e-004
5.996414805715456e-009	1.959782e-004
7.086898259125454e-009	1.959783e-004
8.179853806507727e-009	1.959783e-004
9.401008515574476e-009	1.959783e-004
1.057234584099676e-008	1.959784e-004
1.169110885263972e-008	1.959785e-004
1.228686977666310e-008	1.959786e-004
1.264607401216827e-008	1.959786e-004
1.303430107100232e-008	1.959788e-004
1.307160299955438e-008	1.959788e-004
1.310890492810644e-008	1.959788e-004
1.314620685665851e-008	1.959788e-004
1.318350878521057e-008	1.959788e-004
1.322081071376263e-008	1.959788e-004
1.325811264231470e-008	1.959788e-004
1.329541457086676e-008	1.959789e-004
1.342764958990537e-008	1.959789e-004
1.370852297892010e-008	1.959788e-004
1.397081037381092e-008	1.959784e-004
1.432427151779486e-008	1.959777e-004
1.460270313430022e-008	1.959771e-004
1.491068723593614e-008	1.959766e-004
1.524941078912575e-008	1.959761e-004
1.562242068000353e-008	1.959758e-004
1.609838235265574e-008	1.959756e-004
1.653069664061962e-008	1.959755e-004
1.663746615551240e-008	1.959755e-004
1.674423567040519e-008	1.959755e-004
1.685100518529797e-008	1.959755e-004
1.695777470019075e-008	1.959755e-004
1.706454421508353e-008	1.959756e-004
1.717131372997632e-008	1.959756e-004
1.727808324486910e-008	1.959756e-004
1.779339806805539e-008	1.959757e-004
1.822726834523459e-008	1.959758e-004
1.866113862241380e-008	1.959760e-004
1.909500889959301e-008	1.959761e-004
1.952887917677222e-008	1.959763e-004
1.996274945395143e-008	1.959765e-004
2.039661973113064e-008	1.959768e-004
2.083049000830985e-008	1.959770e-004
2.162443579163969e-008	1.959775e-004
2.241838157496953e-008	1.959780e-004
2.321232735829938e-008	1.959786e-004
2.400627314162922e-008	1.959791e-004
2.480021892495906e-008	1.959797e-004
2.559416470828890e-008	1.959804e-004
2.638811049161874e-008	1.959810e-004
2.731903645041017e-008	1.959818e-004
2.971840034904737e-008	1.959839e-004
3.397616386400543e-008	1.959876e-004
3.785594013661050e-008	1.959907e-004
4.255386688673913e-008	1.959936e-004
4.332817155164291e-008	1.959940e-004
4.410247621654669e-008	1.959944e-004
4.487678088145048e-008	1.959947e-004
4.565108554635426e-008	1.959950e-004
4.642539021125804e-008	1.959953e-004
4.719969487616183e-008	1.959955e-004
4.797399954106561e-008	1.959957e-004
4.874360579237073e-008	1.959959e-004
4.951321204367585e-008	1.959960e-004
5.028281829498098e-008	1.959961e-004
5.105242454628610e-008	1.959961e-004
5.182203079759123e-008	1.959962e-004
5.259163704889635e-008	1.959962e-004
5.336124330020147e-008	1.959962e-004
5.568041735472642e-008	1.959958e-004
5.862632464550514e-008	1.959950e-004
6.389940336404497e-008	1.959923e-004
6.883707535852293e-008	1.959887e-004
7.381349659449874e-008	1.959842e-004
7.894495892086018e-008	1.959790e-004
8.022995199712650e-008	1.959776e-004
8.151494507339282e-008	1.959762e-004
8.279993814965914e-008	1.959748e-004
8.408493122592547e-008	1.959735e-004
8.536992430219179e-008	1.959721e-004
8.665491737845811e-008	1.959707e-004
8.793991045472443e-008	1.959693e-004
9.098223108701853e-008	1.959661e-004
9.402455171931262e-008	1.959631e-004
9.706687235160670e-008	1.959604e-004
1.001091929839008e-007	1.959579e-004
1.031515136161949e-007	1.959557e-004
1.061938342484890e-007	1.959537e-004
1.092361548807831e-007	1.959520e-004
1.135556437559851e-007	1.959504e-004
1.178751326311870e-007	1.959494e-004
1.221946215063890e-007	1.959491e-004
1.265141103815910e-007	1.959495e-004
1.308335992567930e-007	1.959505e-004
1.351530881319949e-007	1.959522e-004
1.394725770071969e-007	1.959546e-004
1.461254341590957e-007	1.959597e-004
1.527782913109945e-007	1.959649e-004
1.594311484628933e-007	1.959701e-004
1.660840056147921e-007	1.959755e-004
1.727368627666909e-007	1.959809e-004
1.793897199185897e-007	1.959863e-004
1.860425770704884e-007	1.959919e-004
1.903949865729633e-007	1.959947e-004
1.944410215562649e-007	1.959969e-004
2.002601187401866e-007	1.959996e-004
2.034969467268279e-007	1.960007e-004
2.097206474090797e-007	1.960024e-004
2.127554886000864e-007	1.960028e-004
2.197206474090798e-007	1.960032e-004
2.245763933146905e-007	1.960028e-004
2.302755897982925e-007	1.960019e-004
2.350502876063873e-007	1.960005e-004
2.398249854144821e-007	1.959989e-004
2.445996832225769e-007	1.959972e-004
2.493743810306717e-007	1.959952e-004
2.541490788387665e-007	1.959929e-004
2.589237766468614e-007	1.959905e-004
2.636984744549562e-007	1.959878e-004
2.705922839054782e-007	1.959839e-004
2.774860933560002e-007	1.959802e-004
2.843799028065222e-007	1.959768e-004
2.912737122570442e-007	1.959736e-004
2.981675217075662e-007	1.959707e-004
3.050613311580882e-007	1.959681e-004
3.119551406086102e-007	1.959658e-004
3.209883678462171e-007	1.959638e-004
3.300215950838240e-007	1.959625e-004
3.390548223214309e-007	1.959619e-004
3.480880495590378e-007	1.959619e-004
3.571212767966447e-007	1.959626e-004
3.661545040342516e-007	1.959640e-004
3.751877312718584e-007	1.959660e-004
3.850663296171077e-007	1.959685e-004
3.949449279623569e-007	1.959710e-004
4.048235263076061e-007	1.959734e-004
4.147021246528553e-007	1.959757e-004
4.245807229981045e-007	1.959779e-004
4.344593213433537e-007	1.959801e-004
4.443379196886029e-007	1.959822e-004
4.567789886354691e-007	1.959840e-004
4.692200575823353e-007	1.959853e-004
4.816611265292015e-007	1.959863e-004
4.941021954760677e-007	1.959867e-004
5.065432644229339e-007	1.959868e-004
5.189843333698001e-007	1.959864e-004
5.314254023166663e-007	1.959855e-004
5.496635786465821e-007	1.959839e-004
5.679017549764979e-007	1.959824e-004
5.861399313064137e-007	1.959810e-004
6.043781076363296e-007	1.959796e-004
6.226162839662453e-007	1.959784e-004
6.408544602961611e-007	1.959772e-004
6.590926366260769e-007	1.959762e-004
6.911211279624244e-007	1.959754e-004
7.231496192987718e-007	1.959748e-004
7.551781106351193e-007	1.959745e-004
7.872066019714666e-007	1.959744e-004
8.192350933078141e-007	1.959745e-004
8.512635846441615e-007	1.959749e-004
8.832920759805089e-007	1.959754e-004
1.000959762176264e-006	1.959760e-004
1.118627448372019e-006	1.959761e-004
1.236295134567774e-006	1.959757e-004
1.353962820763529e-006	1.959748e-004
1.471630506959284e-006	1.959734e-004
1.589298193155040e-006	1.959715e-004
1.706965879350794e-006	1.959691e-004
1.727463125854053e-006	1.959687e-004
1.747960372357312e-006	1.959683e-004
1.768457618860570e-006	1.959680e-004
1.788954865363829e-006	1.959676e-004
1.809452111867088e-006	1.959673e-004
1.829949358370346e-006	1.959669e-004
1.850446604873605e-006	1.959666e-004
1.857573497733294e-006	1.959665e-004
1.864700390592983e-006	1.959664e-004
1.871827283452672e-006	1.959663e-004
1.878954176312361e-006	1.959662e-004
1.886081069172050e-006	1.959661e-004
1.893207962031739e-006	1.959660e-004
1.900334854891428e-006	1.959659e-004
1.910334854891428e-006	1.959657e-004
1.913146140074176e-006	1.959657e-004
1.914829437829756e-006	1.959657e-004
1.916575734570497e-006	1.959657e-004
1.918923228212453e-006	1.959656e-004
1.921649780673315e-006	1.959656e-004
1.924367419151621e-006	1.959656e-004
1.928134476748710e-006	1.959655e-004
1.932360664932118e-006	1.959656e-004
1.935758183375470e-006	1.959656e-004
1.939190682545878e-006	1.959658e-004
1.942669118984706e-006	1.959660e-004
1.947310197870711e-006	1.959665e-004
1.952767215431280e-006	1.959673e-004
1.955816769622131e-006	1.959679e-004
1.958876765747719e-006	1.959687e-004
1.961316409100400e-006	1.959694e-004
1.964104572932035e-006	1.959704e-004
1.966055329532321e-006	1.959712e-004
1.966951561139670e-006	1.959715e-004
1.970536487569064e-006	1.959733e-004
1.972247557303720e-006	1.959742e-004
1.974968896513751e-006	1.959758e-004
1.976446194942054e-006	1.959768e-004
1.977139195058023e-006	1.959773e-004
1.977832195173991e-006	1.959778e-004
1.978525195289959e-006	1.959783e-004
1.979218195405927e-006	1.959789e-004
1.979911195521896e-006	1.959794e-004
1.980604195637864e-006	1.959800e-004
1.981297195753832e-006	1.959806e-004
1.981666791205682e-006	1.959809e-004
1.982036386657532e-006	1.959813e-004
1.982405982109382e-006	1.959816e-004
1.982775577561232e-006	1.959820e-004
1.983145173013082e-006	1.959824e-004
1.983514768464932e-006	1.959827e-004
1.983884363916782e-006	1.959831e-004
1.984447135901006e-006	1.959837e-004
1.984535098502757e-006	1.959838e-004
1.984623061104508e-006	1.959838e-004
1.984711023706258e-006	1.959839e-004
1.984798986308010e-006	1.959840e-004
1.984886948909760e-006	1.959841e-004
1.984974911511511e-006	1.959841e-004
1.985062874113262e-006	1.959842e-004
1.985149281702248e-006	1.959843e-004
1.985235689291234e-006	1.959843e-004
1.985322096880220e-006	1.959844e-004
1.985408504469206e-006	1.959844e-004
1.985494912058193e-006	1.959845e-004
1.985581319647178e-006	1.959845e-004
1.985667727236165e-006	1.959845e-004
1.985852166200543e-006	1.959846e-004
1.986036605164922e-006	1.959847e-004
1.986221044129300e-006	1.959847e-004
1.986405483093679e-006	1.959849e-004
1.986589922058058e-006	1.959850e-004
1.986774361022437e-006	1.959851e-004
1.986958799986815e-006	1.959853e-004
1.987202996445628e-006	1.959855e-004
1.987444560950379e-006	1.959857e-004
1.987686125455130e-006	1.959860e-004
1.987927689959881e-006	1.959863e-004
1.988169254464631e-006	1.959866e-004
1.988410818969382e-006	1.959869e-004
1.988652383474133e-006	1.959872e-004
1.988893947978884e-006	1.959875e-004
1.989462943879086e-006	1.959884e-004
1.990031939779288e-006	1.959892e-004
1.990600935679491e-006	1.959902e-004
1.991169931579694e-006	1.959911e-004
1.991738927479896e-006	1.959921e-004
1.992307923380098e-006	1.959932e-004
1.992876919280301e-006	1.959943e-004
1.994944697782858e-006	1.959986e-004
1.997012476285414e-006	1.960031e-004
1.999080254787970e-006	1.960076e-004
2.001148033290527e-006	1.960123e-004
2.003215811793083e-006	1.960170e-004
2.005283590295640e-006	1.960219e-004
2.007351368798196e-006	1.960268e-004
2.010391703634038e-006	1.960338e-004
2.013432038469880e-006	1.960398e-004
2.016472373305721e-006	1.960448e-004
2.019512708141564e-006	1.960490e-004
2.022553042977405e-006	1.960523e-004
2.025593377813247e-006	1.960546e-004
2.028633712649089e-006	1.960560e-004
2.031953656039148e-006	1.960557e-004
2.035273599429206e-006	1.960542e-004
2.038593542819265e-006	1.960513e-004
2.041913486209323e-006	1.960471e-004
2.045233429599382e-006	1.960415e-004
2.048553372989440e-006	1.960347e-004
2.051873316379499e-006	1.960265e-004
2.058516155442538e-006	1.960079e-004
2.059922156898718e-006	1.960035e-004
2.061796825506959e-006	1.959975e-004
2.067673394680266e-006	1.959779e-004
2.072922466783340e-006	1.959597e-004
2.079473076544177e-006	1.959370e-004
2.084115984830310e-006	1.959210e-004
2.088758893116442e-006	1.959066e-004
2.093401801402574e-006	1.958938e-004
2.098044709688707e-006	1.958825e-004
2.102687617974839e-006	1.958728e-004
2.107330526260971e-006	1.958647e-004
2.111973434547104e-006	1.958582e-004
2.118844857423270e-006	1.958540e-004
2.125716280299436e-006	1.958534e-004
2.132587703175602e-006	1.958564e-004
2.139459126051768e-006	1.958629e-004
2.146330548927933e-006	1.958731e-004
2.153201971804099e-006	1.958868e-004
2.160073394680265e-006	1.959041e-004
2.166873394680265e-006	1.959226e-004
2.173673394680265e-006	1.959404e-004
2.180473394680265e-006	1.959573e-004
2.187273394680265e-006	1.959736e-004
2.194073394680265e-006	1.959890e-004
2.200873394680265e-006	1.960037e-004
2.207673394680265e-006	1.960176e-004
2.216519108973687e-006	1.960303e-004
2.225364823267110e-006	1.960391e-004
2.234210537560532e-006	1.960441e-004
2.243056251853955e-006	1.960452e-004
2.251901966147377e-006	1.960424e-004
2.260747680440799e-006	1.960358e-004
2.269593394734221e-006	1.960253e-004
2.282442387937229e-006	1.960035e-004
2.295291381140237e-006	1.959825e-004
2.308140374343245e-006	1.959623e-004
2.320989367546253e-006	1.959429e-004
2.333838360749261e-006	1.959242e-004
2.346687353952269e-006	1.959064e-004
2.359536347155277e-006	1.958893e-004
2.378266549971967e-006	1.958789e-004
2.396996752788658e-006	1.958730e-004
2.415726955605348e-006	1.958717e-004
2.434457158422039e-006	1.958750e-004
2.453187361238730e-006	1.958827e-004
2.471917564055420e-006	1.958951e-004
2.490647766872111e-006	1.959119e-004
2.518365713701846e-006	1.959313e-004
2.546083660531582e-006	1.959463e-004
2.573801607361317e-006	1.959570e-004
2.601519554191053e-006	1.959634e-004
2.629237501020789e-006	1.959655e-004
2.656955447850524e-006	1.959633e-004
2.684673394680260e-006	1.959568e-004
2.718387680394545e-006	1.959440e-004
2.752101966108831e-006	1.959271e-004
2.785816251823116e-006	1.959060e-004
2.819530537537402e-006	1.958808e-004
2.853244823251688e-006	1.958515e-004
2.886959108965973e-006	1.958179e-004
2.920673394680258e-006	1.957803e-004
2.966773375900588e-006	1.957271e-004
3.012873357120918e-006	1.956594e-004
3.058973338341248e-006	1.955772e-004
3.105073319561578e-006	1.954807e-004
3.151173300781908e-006	1.953696e-004
3.197273282002238e-006	1.952441e-004
3.243373263222568e-006	1.951042e-004
3.255949356594581e-006	1.950602e-004
3.268525449966594e-006	1.950141e-004
3.281101543338607e-006	1.949657e-004
3.293677636710621e-006	1.949151e-004
3.306253730082634e-006	1.948623e-004
